review_id,corpus,case_id,case_event_count,deterministic_findings,hypothesis,cited_event_ids,cited_event_count,cited_event_descriptions,cited_ids_not_cited_by_deterministic_pass,new_cited_id_count,cited_ids_absent_from_corpus_tables
R028,comiset,CASE-002,1,ATH-012 [HIGH] 1 distinct security-control change(s) on desktop-4pvps6e by 'system': a security service was stopped. A single change is often administrative; several in one window is the shape of an attacker clearing the way for what comes next. (events: comiset_slice.jsonl:4bdb0f0e83e0a62d3ca40b33ef0d892801fd4d3b),The apparent confinement of the case to a single tactic reflects the narrow scope of the collected slice rather than the true extent of the intrusion; a remote-control tool spawning a SYSTEM shell normally implies preceding initial-access/persistence activity and following actions on objectives that were not captured.,comiset_slice.jsonl:4bdb0f0e83e0a62d3ca40b33ef0d892801fd4d3b comiset_slice.jsonl:2123df97130430b012740761f3c88c0bbe4bc345,2,"comiset_slice.jsonl:4bdb0f0e83e0a62d3ca40b33ef0d892801fd4d3b @ 2022-11-19 19:12:55.683000+00:00 [desktop-4pvps6e / system] cmd.exe -> sc.exe | sc stop windefend (already cited: yes) || comiset_slice.jsonl:2123df97130430b012740761f3c88c0bbe4bc345 @ 2022-11-19 19:00:59.545000+00:00 [desktop-4pvps6e / system] remotemouse.exe -> cmd.exe | ""c:\windows\system32\cmd.exe"" (already cited: yes)",,0,
R029,flaws_cloud,CASE-205,15,"AWS-003 [MEDIUM] 'Level6' made 563 read calls across 14 distinct services in 463s, 38 of them refused (7%). Breadth on this scale is consistent with account enumeration, and is also exactly what inventory and compliance tooling does. The rule counts how many services were read, not which, so it cannot say whether the target was the account's service inventory or its infrastructure. (events: cloudtrail-control-1760284 cloudtrail-control-1760328 cloudtrail-control-1760344 cloudtrail-control-1760376 cloudtrail-control-1760408 cloudtrail-control-1760425 cloudtrail-control-1760518 cloudtrail-control-1760534 cloudtrail-control-1760582 cloudtrail-control-1760662 cloudtrail-control-1760663 cloudtrail-control-1760664 cloudtrail-control-1760670 cloudtrail-control-1760846) || AWS-004 [MEDIUM] 'Level6' was refused authorization 38 times in 5s, across 3 distinct resource types. Concentrated on so few kinds of object, this is equally the shape of an application missing one permission and retrying. A refusal says what the platform would not do; it does not say what the caller intended. (events: cloudtrail-control-1760664 cloudtrail-control-1760670 cloudtrail-control-1760671)","sts:GetCallerIdentity carries the highest event identifier in the set, meaning the caller resolved its own principal at or near the END of the sweep rather than the beginning. Legitimate scanners and SDK sessions typically resolve identity first; establishing identity only after discovering which services respond is more consistent with an operator or tool confirming the provenance of a credential whose owner was not known in advance.",cloudtrail-control-1760846 cloudtrail-control-1760284 cloudtrail-control-1760671,3,cloudtrail-control-1760846 @ 2020-06-01 19:29:37+00:00 [aws:811596193553/us-east-1 / Level6] Level6 get sts:caller-identity [allowed] (already cited: yes) || cloudtrail-control-1760284 @ 2020-06-01 19:28:15+00:00 [aws:811596193553/ap-southeast-2 / Level6] Level6 describe ec2:network-interface [allowed] (already cited: yes) || cloudtrail-control-1760671 @ 2020-06-01 19:29:17+00:00 [aws:811596193553/ap-south-1 / Level6] Level6 list sns:subscription [denied] (already cited: yes),,0,
R030,flaws_cloud,CASE-067,1,AWS-002 [CRITICAL] 'Level6' stopped CloudTrail trail ''. Disabling the audit trail is not a routine operational action and is consistent with an intruder removing the record of subsequent activity. (events: cloudtrail-control-226797),"The single-event case timeline (a 0-second window on 2019-06-07) understates the true incident scope; the actual intrusion likely extends both before the trail-stop (authentication attempts) and after it (unlogged activity), so the timeline should be treated as a visibility artifact rather than a bound on attacker dwell time.",cloudtrail-control-226797 cloudtrail-logon-000144,2,cloudtrail-control-226797 @ 2019-06-07 11:04:25+00:00 [aws:811596193553/us-east-1 / Level6] Level6 stop cloudtrail:logging [denied] (already cited: yes) || cloudtrail-logon-000144 @ 2017-02-28 07:58:45+00:00 [aws:811596193553/us-east-1 / Level6] success logon [Unknown] from 137.53.124.9 (already cited: no),cloudtrail-logon-000144,1,
R031,flaws_cloud,CASE-077,15,"AWS-004 [HIGH] 'Level6' was refused authorization 772 times in 221s, across 15 distinct resource types. Refusals spread across this many kinds of object are consistent with a caller establishing what its credential can reach. A refusal says what the platform would not do; it does not say what the caller intended. (events: cloudtrail-control-238972 cloudtrail-control-238973 cloudtrail-control-238974 cloudtrail-control-238975 cloudtrail-control-238977 cloudtrail-control-238978 cloudtrail-control-238979 cloudtrail-control-238980 cloudtrail-control-238981 cloudtrail-control-238982 cloudtrail-control-238983 cloudtrail-control-238984 cloudtrail-control-238986 cloudtrail-control-238987 cloudtrail-control-239755)","The principal name 'Level6', the target bucket 'flaws.cloud', and the created bucket name 'pwnd' together are more consistent with a deliberate security-training or capture-the-flag exercise than with an unsanctioned intrusion. If confirmed, the authorization-refusal pattern is expected behaviour of the exercise rather than an incident.",cloudtrail-control-238972 cloudtrail-control-239755,2,cloudtrail-control-238972 @ 2019-06-21 15:43:30+00:00 [aws:811596193553/us-west-2 / Level6] Level6 get s3:bucket-tagging (flaws.cloud) [denied] (already cited: yes) || cloudtrail-control-239755 @ 2019-06-21 15:47:08+00:00 [aws:811596193553/us-west-1 / Level6] Level6 create s3:bucket (pwnd) [denied] (already cited: yes),,0,
R032,synthetic:INC-001,CASE-001,31,"ATH-009 [MEDIUM] Outlook launched WINWORD.EXE to open a document in a macro-capable format. This is consistent with a malicious attachment being opened, independent of whether any embedded macro subsequently ran. (events: evt-000355) || ATH-001 [HIGH] WINWORD.EXE started powershell.exe. Office applications have no routine need to launch script interpreters; this parent/child relationship is consistent with macro-based code execution from a document. (events: evt-000357) || ATH-002 [HIGH] PowerShell ran a base64-encoded command. The decoded payload retrieves and executes remote content, which is consistent with a first-stage downloader. Evasion flags observed: hidden window, no profile. (events: evt-000357) || ATH-003 [HIGH] powershell.exe made 7 outbound connection(s) to the external address 185.220.101.47 on port(s) 80, 443. Script interpreters do not normally initiate direct internet connections; this may indicate payload retrieval or command-and-control. The connection to port 80 indicates cleartext HTTP, which is commonly used to retrieve a second-stage script. (events: evt-000358 evt-000362 evt-000380 evt-000399 evt-000421 evt-000454 evt-000486) || ATH-010 [MEDIUM] 3 distinct discovery commands (net.exe, nltest.exe, whoami.exe) ran from the same parent process (PID 6612) within 34s, consistent with systematic reconnaissance of the local environment and domain. (events: evt-000367 evt-000370 evt-000374) || ATH-004 [CRITICAL] Command line matched credential-access indicators (comsvcs.dll MiniDump, explicit lsass reference, rundll32 MiniDump export). This may indicate an attempt to extract credential material from LSASS memory, which would enable authentication as other users. Requires immediate verification against the account's expected activity. (events: evt-000381) || ATH-005 [CRITICAL] 14 failed logons for 'svc_backup' on FS02 from 10.10.20.15 within 143s. A successful logon followed at 09:33:47, 204s after the last failure. This may indicate the credential was successfully guessed and the account is now compromised. (events: evt-000419 evt-000422 evt-000425 evt-000427 evt-000429 evt-000431 evt-000432 evt-000433 evt-000437 evt-000438 evt-000439 evt-000440 evt-000442 evt-000444 evt-000457) || ATH-006 [HIGH] Account 'svc_backup' authenticated to FS02 from PC01, but has no interactive session on PC01 (observed owner(s): jdoe). Credential use originating from a host the account does not operate on is consistent with lateral movement using stolen credentials, though legitimate alternate-credential workflows produce the same pattern. (events: evt-000457) || ATH-007 [HIGH] The Service Control Manager started an interactive command interpreter. This pattern is consistent with remote command execution via a temporary service. Command output is redirected to the administrative share '\\127.0.0.1\ADMIN$', which is characteristic of remote execution frameworks collecting results over SMB. (events: evt-000461) || ATH-008 [HIGH] An archive utility was invoked and the source path uses a wildcard, implying bulk collection and the destination is a shared staging directory. This is consistent with staging data prior to exfiltration, but does not by itself show that any data left the network. (events: evt-000469) || ATH-003 [MEDIUM] powershell.exe made 1 outbound connection(s) to the external address 185.220.101.47 on port(s) 443. Script interpreters do not normally initiate direct internet connections; this may indicate payload retrieval or command-and-control. (events: evt-000481)","The svc_backup password-guessing burst may have been seeded by material recovered from the PC01 LSASS dump (e.g. a cached username or stale password), which would explain why guessing targeted this one service account rather than many accounts. Unverified: no telemetry ties the dump output to the authentication attempts.",evt-000381 evt-000419 evt-000422 evt-000444 evt-000457,5,"evt-000381 @ 2026-08-17 09:18:22+00:00 [PC01 / jdoe] powershell.exe -> rundll32.exe | rundll32.exe C:\Windows\System32\comsvcs.dll, MiniDump 712 C:\Users\Public\lsass.dmp full (already cited: yes) || evt-000419 @ 2026-08-17 09:28:00+00:00 [FS02 / svc_backup] failure logon [Network (SMB / share access)] from 10.10.20.15 reason=bad_password (already cited: yes) || evt-000422 @ 2026-08-17 09:28:11+00:00 [FS02 / svc_backup] failure logon [Network (SMB / share access)] from 10.10.20.15 reason=bad_password (already cited: yes) || evt-000444 @ 2026-08-17 09:30:23+00:00 [FS02 / svc_backup] failure logon [Network (SMB / share access)] from 10.10.20.15 reason=bad_password (already cited: yes) || evt-000457 @ 2026-08-17 09:33:47+00:00 [FS02 / svc_backup] success logon [Network (SMB / share access)] from 10.10.20.15 (already cited: yes)",,0,
R033,synthetic:INC-005,CASE-001,2,"K8S-001 [HIGH] 'system:serviceaccount:ci:ci-deployer' created clusterrolebindings 'ci-runner-escalation', granting the maximally-privileged role 'cluster-admin' to 'system:serviceaccount:ci:ci-runner'. Very few legitimate workloads need this level of access, and the grantor is not a superuser, so this grant confers standing the grantor did not itself hold; it is worth review even when the grantor is an ordinary administrative account. (events: k8s-control-000003) || K8S-002 [CRITICAL] 'system:serviceaccount:ci:ci-runner' was granted the 'cluster-admin' role 149s before exec'ing into pod 'web-1' (namespace 'prod'). A freshly-escalated identity acting on that escalation shortly after receiving it is consistent with the grant being used for exploration or post-exploitation access rather than left dormant. (events: k8s-control-000003 k8s-control-000004)","The ~149s delay between grant and exec is consistent with scripted or semi-automated tooling executing a prepared escalation sequence, rather than interactive human exploration, which typically shows more variable and longer intervals.",k8s-control-000003 k8s-control-000004,2,k8s-control-000003 @ 2026-08-17 09:20:00.040000+00:00 [k8s:test-cluster / system:serviceaccount:ci:ci-runner] system:serviceaccount:ci:ci-deployer create clusterrolebindings (ci-runner-escalation) -> system:serviceaccount:ci:ci-runner [allowed] (already cited: yes) || k8s-control-000004 @ 2026-08-17 09:22:30.015000+00:00 [k8s:test-cluster / system:serviceaccount:ci:ci-runner] system:serviceaccount:ci:ci-runner exec pods/exec (web-1) [allowed] (already cited: yes),,0,
R034,flaws_cloud,CASE-066,1,AWS-002 [CRITICAL] 'Level6' stopped CloudTrail trail ''. Disabling the audit trail is not a routine operational action and is consistent with an intruder removing the record of subsequent activity. (events: cloudtrail-control-226796),"The complete absence of resolved source addresses across all 5346 authentication events suggests either systematic source-IP redaction/normalisation loss in the ingestion pipeline or attacker use of AWS-internal/API-gateway paths; this gap, not attacker sophistication, is the primary blocker to attribution and should be treated as a collection defect to remediate.",cloudtrail-logon-000144 cloudtrail-logon-017044 cloudtrail-logon-040037 cloudtrail-logon-079347,4,cloudtrail-logon-000144 @ 2017-02-28 07:58:45+00:00 [aws:811596193553/us-east-1 / Level6] success logon [Unknown] from 137.53.124.9 (already cited: no) || cloudtrail-logon-017044 @ 2018-01-18 20:26:38+00:00 [aws:811596193553/us-east-1 / Level6] success logon [Unknown] from 250.253.254.5 (already cited: no) || cloudtrail-logon-040037 @ 2018-12-09 23:02:01+00:00 [aws:811596193553/us-east-1 / Level6] failure logon [Unknown] from 5.1.242.5 reason=Not authorized to perform sts:AssumeRole (already cited: no) || cloudtrail-logon-079347 @ 2020-10-06 17:35:07+00:00 [aws:811596193553/us-east-1 / Level6] failure logon [Unknown] from 0.0.58.4 reason=User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: sts:AssumeRole on resource: arn:aws:iam::811596193553:role/service-role/Level6 (already cited: no),cloudtrail-logon-000144 cloudtrail-logon-017044 cloudtrail-logon-040037 cloudtrail-logon-079347,4,
R035,synthetic:INC-004,CASE-001,6,ATH-012 [CRITICAL] 3 distinct security-control change(s) on PC03 by 'achen': Defender real-time monitoring disabled; a Defender scanning exclusion was added; a security product process was terminated. A single change is often administrative; several in one window is the shape of an attacker clearing the way for what comes next. (events: evt-000901 evt-000905 evt-000909) || ATH-011 [CRITICAL] 3 distinct recovery control(s) were destroyed on PC03 by 'achen': Windows backup catalog deleted; boot-time recovery disabled; volume shadow copies deleted. Destroying recovery paths removes the ability to roll back and commonly immediately precedes encryption. (events: evt-000922 evt-000925 evt-000927),"An encryption/impact payload likely executed on PC03 immediately after 2026-08-17T11:15:40Z; the case currently ends at the last recovery-destruction event, so telemetry after that timestamp (file-write bursts, ransom note creation, mass renames) should be pulled to confirm or rule out completed impact.",evt-000922 evt-000925 evt-000927,3,evt-000922 @ 2026-08-17 11:14:30+00:00 [PC03 / achen] cmd.exe -> vssadmin.exe | vssadmin.exe delete shadows /all /quiet (already cited: yes) || evt-000925 @ 2026-08-17 11:15:05+00:00 [PC03 / achen] cmd.exe -> wbadmin.exe | wbadmin.exe delete catalog -quiet (already cited: yes) || evt-000927 @ 2026-08-17 11:15:40+00:00 [PC03 / achen] cmd.exe -> bcdedit.exe | bcdedit.exe /set {default} recoveryenabled no (already cited: yes),,0,
R036,synthetic:INC-005,CASE-001,2,"K8S-001 [HIGH] 'system:serviceaccount:ci:ci-deployer' created clusterrolebindings 'ci-runner-escalation', granting the maximally-privileged role 'cluster-admin' to 'system:serviceaccount:ci:ci-runner'. Very few legitimate workloads need this level of access, and the grantor is not a superuser, so this grant confers standing the grantor did not itself hold; it is worth review even when the grantor is an ordinary administrative account. (events: k8s-control-000003) || K8S-002 [CRITICAL] 'system:serviceaccount:ci:ci-runner' was granted the 'cluster-admin' role 149s before exec'ing into pod 'web-1' (namespace 'prod'). A freshly-escalated identity acting on that escalation shortly after receiving it is consistent with the grant being used for exploration or post-exploitation access rather than left dormant. (events: k8s-control-000003 k8s-control-000004)","The exec into a production pod was plausibly aimed at credential or secret harvesting (mounted service account tokens, environment variables, or mounted Secret volumes inside 'web-1'), which would extend the chain from Execution/Persistence into Credential Access; validating this requires in-container process and file-read telemetry not present in the current evidence.",k8s-control-000004,1,k8s-control-000004 @ 2026-08-17 09:22:30.015000+00:00 [k8s:test-cluster / system:serviceaccount:ci:ci-runner] system:serviceaccount:ci:ci-runner exec pods/exec (web-1) [allowed] (already cited: yes),,0,
R037,flaws_cloud,CASE-118,1,AWS-002 [CRITICAL] 'flaws' deleted CloudTrail trail 'arn:aws:cloudtrail:us-west-2:811596193553:trail/cloudtrail'. Disabling the audit trail is not a routine operational action and is consistent with an intruder removing the record of subsequent activity. (events: cloudtrail-control-1576322),"The identity name 'flaws' and the us-west-2 region are consistent with the flaws.cloud deliberately-vulnerable AWS training environment, meaning this may be sanctioned exercise traffic rather than a genuine intrusion. Confirming account 811596193553's ownership and purpose should precede escalation.",cloudtrail-control-1576322,1,cloudtrail-control-1576322 @ 2019-08-23 15:48:50+00:00 [aws:811596193553/us-west-2 / flaws] flaws delete cloudtrail:trail (arn:aws:cloudtrail:us-west-2:811596193553:trail/cloudtrail) [allowed] (already cited: yes),,0,
R038,flaws_cloud,CASE-118,1,AWS-002 [CRITICAL] 'flaws' deleted CloudTrail trail 'arn:aws:cloudtrail:us-west-2:811596193553:trail/cloudtrail'. Disabling the audit trail is not a routine operational action and is consistent with an intruder removing the record of subsequent activity. (events: cloudtrail-control-1576322),"The trail deletion is preparatory rather than terminal — it precedes a higher-impact objective (credential harvesting, data exfiltration from S3, or resource hijacking for cryptomining) that the actor expected to be logged. Testing requires pivoting to log sources independent of the deleted trail (S3 server access logs, VPC flow logs, GuardDuty, billing/usage anomalies).",cloudtrail-control-1576322,1,cloudtrail-control-1576322 @ 2019-08-23 15:48:50+00:00 [aws:811596193553/us-west-2 / flaws] flaws delete cloudtrail:trail (arn:aws:cloudtrail:us-west-2:811596193553:trail/cloudtrail) [allowed] (already cited: yes),,0,
R039,synthetic:INC-005,CASE-001,2,"K8S-001 [HIGH] 'system:serviceaccount:ci:ci-deployer' created clusterrolebindings 'ci-runner-escalation', granting the maximally-privileged role 'cluster-admin' to 'system:serviceaccount:ci:ci-runner'. Very few legitimate workloads need this level of access, and the grantor is not a superuser, so this grant confers standing the grantor did not itself hold; it is worth review even when the grantor is an ordinary administrative account. (events: k8s-control-000003) || K8S-002 [CRITICAL] 'system:serviceaccount:ci:ci-runner' was granted the 'cluster-admin' role 149s before exec'ing into pod 'web-1' (namespace 'prod'). A freshly-escalated identity acting on that escalation shortly after receiving it is consistent with the grant being used for exploration or post-exploitation access rather than left dormant. (events: k8s-control-000003 k8s-control-000004)","The ClusterRoleBinding 'ci-runner-escalation' likely persists after the exec activity, since no revocation or deletion event appears among the verified claims; if so, ci-runner retains cluster-admin and the cluster remains in a compromised-authorization state independent of any containment applied to the exec session.",k8s-control-000003 k8s-control-000004,2,k8s-control-000003 @ 2026-08-17 09:20:00.040000+00:00 [k8s:test-cluster / system:serviceaccount:ci:ci-runner] system:serviceaccount:ci:ci-deployer create clusterrolebindings (ci-runner-escalation) -> system:serviceaccount:ci:ci-runner [allowed] (already cited: yes) || k8s-control-000004 @ 2026-08-17 09:22:30.015000+00:00 [k8s:test-cluster / system:serviceaccount:ci:ci-runner] system:serviceaccount:ci:ci-runner exec pods/exec (web-1) [allowed] (already cited: yes),,0,
R040,attack_data_aws,CASE-001,32,"AWS-003 [HIGH] 'cloudsploit' made 2164 read calls across 49 distinct services in 233s, 2072 of them refused for want of authority (96%). Breadth with no permission behind it is enumeration rather than administration. The rule counts how many services were read, not which, so it cannot say whether the target was the account's service inventory or its infrastructure. (events: cloudtrail-control-002337 cloudtrail-control-001181 cloudtrail-control-001182 cloudtrail-control-002326 cloudtrail-control-001156 cloudtrail-control-001170 cloudtrail-control-001108 cloudtrail-control-001115 cloudtrail-control-002281 cloudtrail-control-002247 cloudtrail-control-002231 cloudtrail-control-000942 cloudtrail-control-000945 cloudtrail-control-002189 cloudtrail-control-002173 cloudtrail-control-000918 cloudtrail-control-000914 cloudtrail-control-002121 cloudtrail-control-002072 cloudtrail-control-002074) || AWS-004 [HIGH] 'cloudsploit' was refused authorization 2092 times in 233s, across 100 distinct resource types. Refusals spread across this many kinds of object are consistent with a caller establishing what its credential can reach. A refusal says what the platform would not do; it does not say what the caller intended. (events: cloudtrail-control-002337 cloudtrail-control-001182 cloudtrail-control-002326 cloudtrail-control-001156 cloudtrail-control-001160 cloudtrail-control-001161 cloudtrail-control-001162 cloudtrail-control-001165 cloudtrail-control-001166 cloudtrail-control-001167 cloudtrail-control-001168 cloudtrail-control-001170 cloudtrail-control-001171 cloudtrail-control-001115 cloudtrail-control-002281 cloudtrail-control-002282 cloudtrail-control-002283 cloudtrail-control-002284 cloudtrail-control-002261 cloudtrail-control-002247)","The principal name 'cloudsploit' matches the open-source CloudSploit cloud security auditing scanner, whose normal behaviour is exactly a broad read-only sweep across every service with many AccessDenied responses; the episode may therefore be an authorised configuration scan rather than adversary reconnaissance, and identity ownership should be checked before escalation.",cloudtrail-control-002337 cloudtrail-control-002326 cloudtrail-control-001156 cloudtrail-control-001170,4,cloudtrail-control-002337 @ 2021-04-13 11:32:51+00:00 [aws:731544447609/eu-central-1 / cloudsploit] cloudsploit list acm:certificate [denied] (already cited: yes) || cloudtrail-control-002326 @ 2021-04-13 11:32:52+00:00 [aws:731544447609/us-east-1 / cloudsploit] cloudsploit list cloudfront:distribution [denied] (already cited: yes) || cloudtrail-control-001156 @ 2021-04-13 11:32:53+00:00 [aws:111111111111/us-east-1 / cloudsploit] cloudsploit describe ec2:volume [denied] (already cited: yes) || cloudtrail-control-001170 @ 2021-04-13 11:32:53+00:00 [aws:111111111111/us-east-1 / cloudsploit] cloudsploit describe config:configuration-recorder [denied] (already cited: yes),,0,
R041,flaws_cloud,CASE-219,28,"AWS-003 [HIGH] 'i-aa2d3b42e5c6e801a' made 2712 read calls across 105 distinct services in 580s, 2637 of them refused for want of authority (97%). Breadth with no permission behind it is enumeration rather than administration. The rule counts how many services were read, not which, so it cannot say whether the target was the account's service inventory or its infrastructure. (events: cloudtrail-control-1776510 cloudtrail-control-1776511 cloudtrail-control-1776513 cloudtrail-control-1776514 cloudtrail-control-1776515 cloudtrail-control-1776516 cloudtrail-control-1776517 cloudtrail-control-1776518 cloudtrail-control-1776521 cloudtrail-control-1776522 cloudtrail-control-1776524 cloudtrail-control-1776525 cloudtrail-control-1776528 cloudtrail-control-1776531 cloudtrail-control-1776545 cloudtrail-control-1776552 cloudtrail-control-1776556 cloudtrail-control-1776571 cloudtrail-control-1776597 cloudtrail-control-1776608) || AWS-004 [HIGH] 'i-aa2d3b42e5c6e801a' was refused authorization 2637 times in 580s, across 621 distinct resource types. Refusals spread across this many kinds of object are consistent with a caller establishing what its credential can reach. A refusal says what the platform would not do; it does not say what the caller intended. (events: cloudtrail-control-1776510 cloudtrail-control-1776513 cloudtrail-control-1776514 cloudtrail-control-1776515 cloudtrail-control-1776516 cloudtrail-control-1776517 cloudtrail-control-1776518 cloudtrail-control-1776519 cloudtrail-control-1776520 cloudtrail-control-1776522 cloudtrail-control-1776523 cloudtrail-control-1776524 cloudtrail-control-1776525 cloudtrail-control-1776526 cloudtrail-control-1776527 cloudtrail-control-1776528 cloudtrail-control-1776529 cloudtrail-control-1776530 cloudtrail-control-1776531 cloudtrail-control-1776532)","The service list touched (snowball, mediaconnect, mediapackage, rekognition, gamelift, iotanalytics, datapipeline, amplify, appsync, route53domains) spans domains that a single application workload would almost never legitimately use together, which fits a fixed enumeration wordlist from off-the-shelf cloud recon tooling (e.g. Pacu, ScoutSuite, cloudfox) executed from the instance.",cloudtrail-control-1776510 cloudtrail-control-1776511 cloudtrail-control-1776515 cloudtrail-control-1776516 cloudtrail-control-1776522 cloudtrail-control-1776527 cloudtrail-control-1776545 cloudtrail-control-1776552 cloudtrail-control-1776556 cloudtrail-control-1776571 cloudtrail-control-1776597,11,cloudtrail-control-1776510 @ 2020-06-11 21:47:49+00:00 [aws:811596193553/us-east-1 / i-aa2d3b42e5c6e801a] i-aa2d3b42e5c6e801a list snowball:cluster [denied] (already cited: yes) || cloudtrail-control-1776511 @ 2020-06-11 21:47:49+00:00 [aws:811596193553/us-east-1 / i-aa2d3b42e5c6e801a] i-aa2d3b42e5c6e801a list mediaconnect:entitlement [failed] (already cited: yes) || cloudtrail-control-1776515 @ 2020-06-11 21:47:50+00:00 [aws:811596193553/us-east-1 / i-aa2d3b42e5c6e801a] i-aa2d3b42e5c6e801a list rekognition:collection [denied] (already cited: yes) || cloudtrail-control-1776516 @ 2020-06-11 21:47:50+00:00 [aws:811596193553/us-east-1 / i-aa2d3b42e5c6e801a] i-aa2d3b42e5c6e801a list mediapackage:channel [denied] (already cited: yes) || cloudtrail-control-1776522 @ 2020-06-11 21:47:50+00:00 [aws:811596193553/us-east-1 / i-aa2d3b42e5c6e801a] i-aa2d3b42e5c6e801a describe gamelift:vpc-peering-authorization [denied] (already cited: yes) || cloudtrail-control-1776527 @ 2020-06-11 21:47:50+00:00 [aws:811596193553/us-east-1 / i-aa2d3b42e5c6e801a] i-aa2d3b42e5c6e801a list gamelift:fleet [denied] (already cited: yes) || cloudtrail-control-1776545 @ 2020-06-11 21:47:51+00:00 [aws:811596193553/us-east-1 / i-aa2d3b42e5c6e801a] i-aa2d3b42e5c6e801a list appsync:graphql-apis [denied] (already cited: yes) || cloudtrail-control-1776552 @ 2020-06-11 21:47:51+00:00 [aws:811596193553/us-east-1 / i-aa2d3b42e5c6e801a] i-aa2d3b42e5c6e801a list amplify:app [denied] (already cited: yes) || cloudtrail-control-1776556 @ 2020-06-11 21:47:51+00:00 [aws:811596193553/us-east-1 / i-aa2d3b42e5c6e801a] i-aa2d3b42e5c6e801a list route53domains:domain [denied] (already cited: yes) || cloudtrail-control-1776571 @ 2020-06-11 21:47:52+00:00 [aws:811596193553/us-east-1 / i-aa2d3b42e5c6e801a] i-aa2d3b42e5c6e801a list datapipeline:pipeline [denied] (already cited: yes) || cloudtrail-control-1776597 @ 2020-06-11 21:47:53+00:00 [aws:811596193553/us-east-1 / i-aa2d3b42e5c6e801a] i-aa2d3b42e5c6e801a list iotanalytics:datastore [denied] (already cited: yes),,0,
R042,flaws_cloud,CASE-118,1,AWS-002 [CRITICAL] 'flaws' deleted CloudTrail trail 'arn:aws:cloudtrail:us-west-2:811596193553:trail/cloudtrail'. Disabling the audit trail is not a routine operational action and is consistent with an intruder removing the record of subsequent activity. (events: cloudtrail-control-1576322),"The principal 'flaws' held IAM permissions including cloudtrail:DeleteTrail, which is an administrative-grade privilege; either the identity was over-provisioned by design or a prior, unlogged privilege-escalation step occurred. Reviewing the IAM policy attached to 'flaws' and any preceding AttachUserPolicy/CreateAccessKey events would discriminate between these.",cloudtrail-control-1576322,1,cloudtrail-control-1576322 @ 2019-08-23 15:48:50+00:00 [aws:811596193553/us-west-2 / flaws] flaws delete cloudtrail:trail (arn:aws:cloudtrail:us-west-2:811596193553:trail/cloudtrail) [allowed] (already cited: yes),,0,
R043,flaws_cloud,CASE-113,5,"AWS-004 [HIGH] 'Level6' was refused authorization 918 times in 598s, across 5 distinct resource types. Refusals spread across this many kinds of object are consistent with a caller establishing what its credential can reach. A refusal says what the platform would not do; it does not say what the caller intended. (events: cloudtrail-control-323923 cloudtrail-control-323928 cloudtrail-control-323933 cloudtrail-control-323942 cloudtrail-control-323974)","The creation of a default VPC immediately before running an instance suggests the target region had no usable network prior to this activity, implying the region was previously unused by the organisation and was selected for that reason rather than for a business need. If true, the activity is unlikely to be legitimate operations.",cloudtrail-control-323942 cloudtrail-control-323974,2,cloudtrail-control-323942 @ 2019-08-21 07:41:25+00:00 [aws:811596193553/ap-northeast-2 / Level6] Level6 create ec2:default-vpc [denied] (already cited: yes) || cloudtrail-control-323974 @ 2019-08-21 07:41:30+00:00 [aws:811596193553/ap-northeast-2 / Level6] Level6 run ec2:instance [denied] (already cited: yes),,0,
R044,flaws_cloud,CASE-066,1,AWS-002 [CRITICAL] 'Level6' stopped CloudTrail trail ''. Disabling the audit trail is not a routine operational action and is consistent with an intruder removing the record of subsequent activity. (events: cloudtrail-control-226796),"The 'Level6' principal held permissions sufficient to alter trail configuration (cloudtrail:StopLogging / DeleteTrail), implying either a highly privileged administrative identity or a prior privilege-escalation step that is not represented in the current evidence; enumerating how that principal obtained those rights is a gap in the timeline.",cloudtrail-control-226796,1,cloudtrail-control-226796 @ 2019-06-07 11:04:25+00:00 [aws:811596193553/us-east-1 / Level6] Level6 stop cloudtrail:logging [denied] (already cited: yes),,0,
R045,flaws_cloud,CASE-113,5,"AWS-004 [HIGH] 'Level6' was refused authorization 918 times in 598s, across 5 distinct resource types. Refusals spread across this many kinds of object are consistent with a caller establishing what its credential can reach. A refusal says what the platform would not do; it does not say what the caller intended. (events: cloudtrail-control-323923 cloudtrail-control-323928 cloudtrail-control-323933 cloudtrail-control-323942 cloudtrail-control-323974)","The terminal step of the chain is compute instantiation with an attacker-controlled SSH key pair in a freshly created network, which fits resource hijacking (T1496) or the staging of an interactive foothold rather than Discovery alone. The case's single-tactic Discovery labelling may therefore understate the objective.",cloudtrail-control-323933 cloudtrail-control-323942 cloudtrail-control-323974,3,cloudtrail-control-323933 @ 2019-08-21 07:41:24+00:00 [aws:811596193553/ap-northeast-2 / Level6] Level6 create ec2:key-pair (811596193553_ap-northeast-2_my_key_pair) [denied] (already cited: yes) || cloudtrail-control-323942 @ 2019-08-21 07:41:25+00:00 [aws:811596193553/ap-northeast-2 / Level6] Level6 create ec2:default-vpc [denied] (already cited: yes) || cloudtrail-control-323974 @ 2019-08-21 07:41:30+00:00 [aws:811596193553/ap-northeast-2 / Level6] Level6 run ec2:instance [denied] (already cited: yes),,0,
